INFO 2025-06-07 13:43:38,177 basehttp 44240 24356 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 13:43:42,776 basehttp 44240 24356 "GET /admin/autocomplete/?app_label=progress&model_name=userprogress&field_name=user HTTP/1.1" 200 129
INFO 2025-06-07 13:43:44,436 basehttp 44240 24356 "GET /admin/autocomplete/?app_label=progress&model_name=userprogress&field_name=subject HTTP/1.1" 200 412
INFO 2025-06-07 13:44:56,137 basehttp 44240 24356 "GET /admin/autocomplete/?app_label=progress&model_name=userprogress&field_name=user HTTP/1.1" 200 129
INFO 2025-06-07 13:44:57,660 basehttp 44240 24356 "GET /admin/autocomplete/?app_label=progress&model_name=userprogress&field_name=subject HTTP/1.1" 200 412
INFO 2025-06-07 13:45:08,396 basehttp 44240 24356 "GET /admin/exams/examsession/ HTTP/1.1" 200 18666
INFO 2025-06-07 13:45:08,435 basehttp 44240 24356 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 14:05:42,378 basehttp 44240 34988 "GET /admin/exams/examsession/ HTTP/1.1" 200 18666
INFO 2025-06-07 14:05:42,404 basehttp 44240 34988 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 14:05:43,796 basehttp 44240 34988 "GET /admin/exams/examsession/ HTTP/1.1" 200 18666
INFO 2025-06-07 14:05:43,822 basehttp 44240 34988 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 14:05:44,761 basehttp 44240 34988 "GET /admin/exams/examsession/ HTTP/1.1" 200 18666
INFO 2025-06-07 14:05:44,784 basehttp 44240 34988 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 14:05:46,015 basehttp 44240 34988 "GET /admin/exams/examsession/ HTTP/1.1" 200 18666
INFO 2025-06-07 14:05:46,058 basehttp 44240 34988 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 14:05:47,543 basehttp 44240 34988 "GET /admin/progress/userprogress/ HTTP/1.1" 200 18397
INFO 2025-06-07 14:05:47,567 basehttp 44240 34988 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 14:20:08,951 basehttp 44240 51212 "GET /admin/progress/userprogress/ HTTP/1.1" 200 18397
INFO 2025-06-07 14:20:08,991 basehttp 44240 51212 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 14:20:11,045 basehttp 44240 51212 "GET / HTTP/1.1" 200 6417
INFO 2025-06-07 14:32:54,918 autoreload 44240 6852 C:\Users\bryan\OneDrive\Documents\webapp\QuizSystem\core_settings\settings.py changed, reloading.
INFO 2025-06-07 14:32:56,008 autoreload 4192 37124 Watching for file changes with StatReloader
INFO 2025-06-07 14:36:39,994 autoreload 51220 39704 Watching for file changes with StatReloader
INFO 2025-06-07 15:45:58,588 autoreload 31944 38012 Watching for file changes with StatReloader
INFO 2025-06-07 15:49:20,502 autoreload 48812 41052 Watching for file changes with StatReloader
INFO 2025-06-07 15:53:50,541 autoreload 45680 42848 Watching for file changes with StatReloader
INFO 2025-06-07 15:57:17,332 autoreload 45680 42848 C:\Users\bryan\OneDrive\Documents\webapp\QuizSystem\core_settings\settings.py changed, reloading.
INFO 2025-06-07 15:57:19,200 autoreload 47236 43996 Watching for file changes with StatReloader
INFO 2025-06-07 15:59:51,735 autoreload 34888 25172 Watching for file changes with StatReloader
INFO 2025-06-07 16:04:22,655 autoreload 37776 49780 Watching for file changes with StatReloader
INFO 2025-06-07 16:08:26,740 autoreload 37776 49780 C:\Users\bryan\OneDrive\Documents\webapp\QuizSystem\core_settings\settings.py changed, reloading.
INFO 2025-06-07 16:08:27,453 autoreload 37664 49444 Watching for file changes with StatReloader
INFO 2025-06-07 16:36:36,673 autoreload 51000 46464 Watching for file changes with StatReloader
INFO 2025-06-07 16:37:19,152 basehttp 51000 42680 "GET /admin/users/customuser/ HTTP/1.1" 200 22236
INFO 2025-06-07 16:37:19,168 basehttp 51000 42680 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 16:37:20,432 basehttp 51000 42680 "GET /admin/users/customuser/ HTTP/1.1" 200 22236
INFO 2025-06-07 16:37:20,451 basehttp 51000 42680 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 16:37:33,539 basehttp 51000 42680 "GET /admin/mfa/authenticator/ HTTP/1.1" 200 20493
INFO 2025-06-07 16:37:33,555 basehttp 51000 42680 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 16:37:39,465 basehttp 51000 42680 "GET /admin/mfa/authenticator/ HTTP/1.1" 200 20493
INFO 2025-06-07 16:37:39,481 basehttp 51000 42680 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 16:37:40,662 basehttp 51000 42680 "GET /admin/exams/examsession/ HTTP/1.1" 200 20531
INFO 2025-06-07 16:37:40,680 basehttp 51000 42680 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 18:29:23,901 basehttp 51000 504 "GET /admin/questions/subject/ HTTP/1.1" 200 23627
INFO 2025-06-07 18:29:23,934 basehttp 51000 504 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 18:29:43,655 basehttp 51000 504 "GET /admin/usersessions/usersession/ HTTP/1.1" 200 18084
INFO 2025-06-07 18:29:43,673 basehttp 51000 504 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 18:29:46,722 basehttp 51000 504 "GET /admin/usersessions/usersession/add/ HTTP/1.1" 200 23051
INFO 2025-06-07 18:29:46,738 basehttp 51000 49692 "GET /static/admin/js/calendar.js HTTP/1.1" 200 9141
INFO 2025-06-07 18:29:46,739 basehttp 51000 43472 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
INFO 2025-06-07 18:29:46,743 basehttp 51000 504 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 18:29:46,766 basehttp 51000 504 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2025-06-07 18:29:46,767 basehttp 51000 43472 "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
INFO 2025-06-07 18:29:56,703 basehttp 51000 43472 "GET /admin/progress/userprogress/ HTTP/1.1" 200 20262
INFO 2025-06-07 18:29:56,719 basehttp 51000 43472 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 18:29:57,872 basehttp 51000 43472 "GET /admin/mfa/authenticator/ HTTP/1.1" 200 20493
INFO 2025-06-07 18:29:57,892 basehttp 51000 43472 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 18:30:02,298 basehttp 51000 43472 "GET /admin/questions/question/ HTTP/1.1" 200 39610
INFO 2025-06-07 18:30:02,316 basehttp 51000 43472 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 18:30:09,702 basehttp 51000 43472 "GET /admin/questions/question/import/ HTTP/1.1" 200 18647
INFO 2025-06-07 18:30:09,717 basehttp 51000 43472 "GET /static/import_export/import.css HTTP/1.1" 200 3342
INFO 2025-06-07 18:30:09,717 basehttp 51000 504 "GET /static/import_export/guess_format.js HTTP/1.1" 200 711
INFO 2025-06-07 18:30:09,721 basehttp 51000 49692 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
